alpha urisk trisk pvalue models
3.0 0.1071 21.9688 1.98e-104 lgbm.lrank.1500.63.0.05.0.4.min128min129min130min131Trisk
4.0 0.0758 13.3226 3.85e-40 lgbm.lrank.1500.63.0.05.0.4.min128min129min130min131Trisk
5.0 0.0445 6.8238 9.4e-12 lgbm.lrank.1500.63.0.05.0.4.min128min129min130min131Trisk
6.0 0.0132 1.7962 0.0725 lgbm.lrank.1500.63.0.05.0.4.min128min129min130min131Trisk
7.0 -0.018 -2.1924 0.0284 lgbm.lrank.1500.63.0.05.0.4.min128min129min130min131Trisk
8.0 -0.0493 -5.4254 5.92e-08 lgbm.lrank.1500.63.0.05.0.4.min128min129min130min131Trisk
9.0 -0.0806 -8.0942 6.46e-16 lgbm.lrank.1500.63.0.05.0.4.min128min129min130min131Trisk
10.0 -0.1119 -10.332 6.8e-25 lgbm.lrank.1500.63.0.05.0.4.min128min129min130min131Trisk
0.0 0.2132 77.6777 0.0 lgbm.lrank.1500.63.0.05.0.4.min128Trisk
1.0 0.1837 54.7446 0.0 lgbm.lrank.1500.63.0.05.0.4.min128Trisk
2.0 0.1542 37.9777 2.5e-294 lgbm.lrank.1500.63.0.05.0.4.min128Trisk
3.0 0.1247 25.8826 7.0e-143 lgbm.lrank.1500.63.0.05.0.4.min128Trisk
4.0 0.0952 16.9778 9.97e-64 lgbm.lrank.1500.63.0.05.0.4.min128Trisk
5.0 0.0657 10.2377 1.79e-24 lgbm.lrank.1500.63.0.05.0.4.min128Trisk
6.0 0.0362 4.9974 5.91e-07 lgbm.lrank.1500.63.0.05.0.4.min128Trisk
7.0 0.0067 0.825 0.409 lgbm.lrank.1500.63.0.05.0.4.min128Trisk
8.0 -0.0228 -2.5664 0.0103 lgbm.lrank.1500.63.0.05.0.4.min128Trisk
9.0 -0.0524 -5.3719 7.97e-08 lgbm.lrank.1500.63.0.05.0.4.min128Trisk
10.0 -0.0819 -7.7284 1.2e-14 lgbm.lrank.1500.63.0.05.0.4.min128Trisk
0.0 0.2092 76.3107 0.0 lgbm.lrank.1500.63.0.05.0.4.min129Trisk
1.0 0.1794 53.5365 0.0 lgbm.lrank.1500.63.0.05.0.4.min129Trisk
2.0 0.1496 36.9012 5.0e-279 lgbm.lrank.1500.63.0.05.0.4.min129Trisk
3.0 0.1199 24.9116 7.97e-133 lgbm.lrank.1500.63.0.05.0.4.min129Trisk
4.0 0.0901 16.0911 1.63e-57 lgbm.lrank.1500.63.0.05.0.4.min129Trisk
5.0 0.0604 9.4189 5.6e-21 lgbm.lrank.1500.63.0.05.0.4.min129Trisk
6.0 0.0306 4.2338 2.32e-05 lgbm.lrank.1500.63.0.05.0.4.min129Trisk
7.0 0.0009 0.107 0.915 lgbm.lrank.1500.63.0.05.0.4.min129Trisk
8.0 -0.0289 -3.2462 0.00117 lgbm.lrank.1500.63.0.05.0.4.min129Trisk
9.0 -0.0586 -6.0195 1.81e-09 lgbm.lrank.1500.63.0.05.0.4.min129Trisk
10.0 -0.0884 -8.3483 7.87e-17 lgbm.lrank.1500.63.0.05.0.4.min129Trisk
0.0 0.2152 78.221 0.0 lgbm.lrank.1500.63.0.05.0.4.min130Trisk
1.0 0.1859 55.5033 0.0 lgbm.lrank.1500.63.0.05.0.4.min130Trisk
2.0 0.1566 38.7738 7.48e-306 lgbm.lrank.1500.63.0.05.0.4.min130Trisk
3.0 0.1274 26.634 6.82e-151 lgbm.lrank.1500.63.0.05.0.4.min130Trisk
4.0 0.0981 17.6576 1.05e-68 lgbm.lrank.1500.63.0.05.0.4.min130Trisk
5.0 0.0688 10.842 3.12e-27 lgbm.lrank.1500.63.0.05.0.4.min130Trisk
6.0 0.0396 5.5308 3.27e-08 lgbm.lrank.1500.63.0.05.0.4.min130Trisk
7.0 0.0103 1.2945 0.196 lgbm.lrank.1500.63.0.05.0.4.min130Trisk
8.0 -0.0189 -2.1534 0.0313 lgbm.lrank.1500.63.0.05.0.4.min130Trisk
9.0 -0.0482 -5.0087 5.58e-07 lgbm.lrank.1500.63.0.05.0.4.min130Trisk
10.0 -0.0775 -7.4091 1.38e-13 lgbm.lrank.1500.63.0.05.0.4.min130Trisk
0.0 0.2158 78.4884 0.0 lgbm.lrank.1500.63.0.05.0.4.min131Trisk
1.0 0.187 55.9371 0.0 lgbm.lrank.1500.63.0.05.0.4.min131Trisk
2.0 0.1581 39.2617 5.3e-313 lgbm.lrank.1500.63.0.05.0.4.min131Trisk
3.0 0.1293 27.1313 2.65e-156 lgbm.lrank.1500.63.0.05.0.4.min131Trisk
4.0 0.1004 18.1485 2.08e-72 lgbm.lrank.1500.63.0.05.0.4.min131Trisk
