alpha urisk trisk pvalue models
2.0 0.0197 5.291 1.25e-07 SOTAXGBTrisk
3.0 -0.0103 -2.2621 0.0237 SOTAXGBTrisk
4.0 -0.0404 -7.4347 1.18e-13 SOTAXGBTrisk
5.0 -0.0704 -11.1562 1.19e-28 SOTAXGBTrisk
6.0 -0.1004 -13.9452 1.35e-43 SOTAXGBTrisk
7.0 -0.1305 -16.1058 2.7e-57 SOTAXGBTrisk
8.0 -0.1605 -17.8251 1.75e-69 SOTAXGBTrisk
9.0 -0.1906 -19.224 3.19e-80 SOTAXGBTrisk
10.0 -0.2206 -20.3833 1.14e-89 SOTAXGBTrisk
0.0 0.0507 23.4157 1.22e-116 URISK100Trisk
1.0 0.0127 4.2645 2.03e-05 URISK100Trisk
2.0 -0.0253 -6.4911 9.13e-11 URISK100Trisk
3.0 -0.0633 -13.0236 2.6e-38 URISK100Trisk
4.0 -0.1013 -17.3267 7.8e-66 URISK100Trisk
5.0 -0.1393 -20.3487 2.22e-89 URISK100Trisk
6.0 -0.1773 -22.5776 7.28e-109 URISK100Trisk
7.0 -0.2153 -24.285 5.88e-125 URISK100Trisk
8.0 -0.2533 -25.6328 2.38e-138 URISK100Trisk
9.0 -0.2913 -26.7227 1.3e-149 URISK100Trisk
10.0 -0.3293 -27.6217 3.47e-159 URISK100Trisk
0.0 0.0446 20.8259 2.11e-93 URISK10kTrisk
1.0 0.0049 1.6587 0.0972 URISK10kTrisk
2.0 -0.0348 -8.8993 7.12e-19 URISK10kTrisk
3.0 -0.0745 -15.2474 1.24e-51 URISK10kTrisk
4.0 -0.1142 -19.4052 1.15e-81 URISK10kTrisk
5.0 -0.1539 -22.315 1.77e-106 URISK10kTrisk
6.0 -0.1935 -24.456 1.27e-126 URISK10kTrisk
7.0 -0.2332 -26.0936 4.59e-143 URISK10kTrisk
8.0 -0.2729 -27.3846 1.23e-156 URISK10kTrisk
9.0 -0.3126 -28.4277 5.55e-168 URISK10kTrisk
10.0 -0.3523 -29.2874 1.4e-177 URISK10kTrisk
0.0 0.0448 20.6147 1.3e-91 URISK5kTrisk
1.0 0.0044 1.4625 0.144 URISK5kTrisk
2.0 -0.036 -9.026 2.29e-19 URISK5kTrisk
3.0 -0.0763 -15.3122 4.74e-52 URISK5kTrisk
4.0 -0.1167 -19.4223 8.37e-82 URISK5kTrisk
5.0 -0.1571 -22.2955 2.66e-106 URISK5kTrisk
6.0 -0.1975 -24.4081 3.73e-126 URISK5kTrisk
7.0 -0.2379 -26.0232 2.43e-142 URISK5kTrisk
8.0 -0.2782 -27.296 1.09e-155 URISK5kTrisk
9.0 -0.3186 -28.3241 7.7e-167 URISK5kTrisk
10.0 -0.359 -29.1714 2.84e-176 URISK5kTrisk
0.0 0.0738 32.398 4.05e-214 UriskAlpha1Trisk
1.0 0.0409 13.6142 1.17e-41 UriskAlpha1Trisk
2.0 0.0081 2.1014 0.0356 UriskAlpha1Trisk
3.0 -0.0248 -5.2401 1.65e-07 UriskAlpha1Trisk
4.0 -0.0576 -10.2147 2.56e-24 UriskAlpha1Trisk
5.0 -0.0905 -13.7701 1.45e-42 UriskAlpha1Trisk
6.0 -0.1234 -16.4232 1.85e-59 UriskAlpha1Trisk
7.0 -0.1562 -18.4723 2.32e-74 UriskAlpha1Trisk
8.0 -0.1891 -20.0995 2.6e-87 UriskAlpha1Trisk
9.0 -0.2219 -21.4212 1.55e-98 UriskAlpha1Trisk
10.0 -0.2548 -22.5152 2.7e-108 UriskAlpha1Trisk
