alpha,topic,trisk,pvalue
0.0,23245,0.9948,0.32
0.0,23246,0.653,0.514
0.0,23247,2.0837,0.0372
0.0,23248,0.7366,0.461
0.0,23249,0.0,1.0
0.0,23250,1.0628,0.288
0.0,23251,-2.3134,0.0207
0.0,23252,0.0,1.0
0.0,23253,-0.5335,0.594
0.0,23254,1.0105,0.312
0.0,23255,-0.7388,0.46
0.0,23256,0.7101,0.478
0.0,23257,0.0,1.0
0.0,23258,1.4118,0.158
0.0,23259,0.0975,0.922
0.0,23260,3.5976,0.0003
0.0,23261,0.5323,0.595
0.0,23262,1.2678,0.205
0.0,23263,-0.1128,0.91
0.0,23264,1.1503,0.25
0.0,23265,-0.0529,0.958
0.0,23266,-0.2121,0.832
0.0,23267,0.4781,0.633
0.0,23268,1.2324,0.218
0.0,23269,-1.3741,0.169
0.0,23270,0.55,0.582
0.0,23271,1.5404,0.124
0.0,23272,0.1726,0.863
0.0,23273,1.5404,0.124
0.0,23274,1.0943,0.274
0.0,23275,0.0,1.0
0.0,23276,-0.1616,0.872
0.0,23277,1.5404,0.124
0.0,23278,0.0,1.0
0.0,23279,0.3772,0.706
0.0,23280,0.0,1.0
0.0,23281,-0.0597,0.952
0.0,23282,0.4177,0.676
0.0,23283,0.0,1.0
0.0,23284,1.5404,0.124
0.0,23285,0.1726,0.863
0.0,23286,1.5556,0.12
0.0,23287,0.309,0.757
0.0,23288,-3.2169,0.0013
0.0,23289,1.9455,0.0518
0.0,23290,0.5623,0.574
0.0,23291,0.1955,0.845
0.0,23292,-0.391,0.696
0.0,23293,0.0,1.0
0.0,23294,2.4719,0.0135
0.0,23295,0.9396,0.347
0.0,23296,-0.4109,0.681
0.0,23297,1.5065,0.132
0.0,23298,-1.01,0.313
0.0,23299,0.8073,0.42
0.0,23300,0.8655,0.387
0.0,23301,0.0,1.0
0.0,23302,0.0298,0.976
0.0,23303,-1.4672,0.142
0.0,23304,0.2476,0.804
0.0,23305,0.7257,0.468
0.0,23306,1.7404,0.0818
0.0,23307,0.618,0.537
0.0,23308,1.0522,0.293
0.0,23309,0.0,1.0
0.0,23310,0.0,1.0
0.0,23311,1.0866,0.277
0.0,23312,-0.8063,0.42
0.0,23313,0.1072,0.915
0.0,23314,0.0734,0.941
0.0,23315,0.4098,0.682
0.0,23316,0.487,0.626
0.0,23317,2.4687,0.0136
0.0,23318,-1.1582,0.247
0.0,23319,0.8415,0.4
0.0,23320,-0.2849,0.776
0.0,23321,-0.7481,0.454
0.0,23322,0.2185,0.827
0.0,23323,1.7525,0.0797
0.0,23324,1.3508,0.177
0.0,23325,0.0,1.0
0.0,23326,1.1046,0.269
0.0,23327,-0.0699,0.944
0.0,23328,0.4396,0.66
0.0,23329,2.8866,0.0039
0.0,23330,1.6952,0.0901
0.0,23331,0.9333,0.351
0.0,23332,0.0395,0.968
0.0,23333,-0.6349,0.526
0.0,23334,-2.3543,0.0186
0.0,23335,-0.2259,0.821
0.0,23336,1.1966,0.232
0.0,23337,0.5881,0.556
0.0,23338,0.0864,0.931
0.0,23339,0.1955,0.845
0.0,23340,1.067,0.286
0.0,23341,0.2556,0.798
0.0,23342,-0.8661,0.386
0.0,23343,0.9333,0.351
0.0,23344,1.1624,0.245
0.0,23345,2.119,0.0341
0.0,23346,0.0893,0.929
0.0,23347,3.3501,0.0008
0.0,23348,-0.2513,0.802
0.0,23349,0.4525,0.651
0.0,23350,0.8986,0.369
0.0,23351,0.5297,0.596
0.0,23352,-0.5762,0.564
0.0,23353,-0.8936,0.372
0.0,23354,-0.1387,0.89
0.0,23355,1.0961,0.273
0.0,23356,-0.618,0.537
0.0,23357,0.061,0.951
0.0,23358,1.5356,0.125
0.0,23359,3.3433,0.0008
0.0,23360,3.1563,0.0016
0.0,23361,0.3613,0.718
0.0,23362,1.4743,0.14
0.0,23363,1.9236,0.0544
0.0,23364,0.5243,0.6
0.0,23365,0.7534,0.451
0.0,23366,0.0,1.0
0.0,23367,2.2924,0.0219
0.0,23368,1.4233,0.155
0.0,23369,-0.3707,0.711
0.0,23370,0.655,0.512
