alpha,topic,trisk,pvalue
0.0,23228,0.8495,0.396
0.0,23229,1.2071,0.227
0.0,23230,0.7377,0.461
0.0,23231,1.6477,0.0995
0.0,23232,0.4828,0.629
0.0,23234,1.5209,0.128
0.0,23235,-0.3854,0.7
0.0,23236,-0.3267,0.744
0.0,23237,0.3153,0.753
0.0,23238,1.4168,0.157
0.0,23239,1.1133,0.266
0.0,23240,-0.2181,0.827
0.0,23241,0.8632,0.388
0.0,23242,1.6489,0.0992
0.0,23243,-2.8991,0.0038
0.0,23244,0.4619,0.644
0.0,23245,0.672,0.502
0.0,23246,1.613,0.107
0.0,23247,2.1039,0.0354
0.0,23248,0.5048,0.614
0.0,23249,0.0,1.0
0.0,23250,1.3676,0.171
0.0,23251,-2.4483,0.0144
0.0,23252,-1.3345,0.182
0.0,23253,-1.1161,0.264
0.0,23254,0.5375,0.591
0.0,23255,-0.746,0.456
0.0,23256,-0.4358,0.663
0.0,23257,0.0,1.0
0.0,23258,1.0235,0.306
0.0,23259,0.0985,0.922
0.0,23260,3.6325,0.0003
0.0,23261,0.0547,0.956
0.0,23262,1.256,0.209
0.0,23263,-0.1139,0.909
0.0,23264,1.1615,0.245
0.0,23265,-0.0534,0.957
0.0,23266,-0.2142,0.83
0.0,23267,0.4828,0.629
0.0,23268,1.2444,0.213
0.0,23269,-0.6088,0.543
0.0,23270,0.1017,0.919
0.0,23271,1.5554,0.12
0.0,23272,0.1742,0.862
0.0,23273,1.5554,0.12
0.0,23274,1.1049,0.269
0.0,23275,0.1139,0.909
0.0,23276,0.3097,0.757
0.0,23277,1.5554,0.12
0.0,23278,0.0,1.0
0.0,23279,0.1919,0.848
0.0,23280,0.0,1.0
0.0,23281,-0.1742,0.862
0.0,23282,0.239,0.811
0.0,23283,-0.0693,0.945
0.0,23284,1.5554,0.12
0.0,23285,0.1742,0.862
0.0,23286,1.2861,0.198
0.0,23287,0.5235,0.601
0.0,23288,-2.878,0.004
0.0,23289,1.7452,0.081
0.0,23290,0.5678,0.57
0.0,23291,0.1974,0.844
0.0,23292,-0.3206,0.749
0.0,23293,0.0,1.0
0.0,23294,2.4959,0.0126
0.0,23295,-0.2142,0.83
0.0,23296,-0.208,0.835
0.0,23297,1.736,0.0826
0.0,23298,-1.1918,0.233
0.0,23299,0.3164,0.752
0.0,23300,0.7874,0.431
0.0,23301,0.0,1.0
0.0,23302,-0.746,0.456
0.0,23303,-0.8792,0.379
0.0,23304,0.9682,0.333
0.0,23305,0.6462,0.518
0.0,23306,1.8875,0.0591
0.0,23307,0.3553,0.722
0.0,23308,1.2024,0.229
0.0,23309,-1.181,0.238
0.0,23310,-0.4889,0.625
0.0,23311,1.2547,0.21
0.0,23312,-0.7724,0.44
