alpha,topic,trisk,pvalue
0.0,23234,2.0175,0.0437
0.0,23235,-1.2,0.23
0.0,23236,0.6885,0.491
0.0,23237,-0.6055,0.545
0.0,23238,2.0271,0.0427
0.0,23239,1.2949,0.195
0.0,23240,-0.9177,0.359
0.0,23241,0.8531,0.394
0.0,23242,1.6295,0.103
0.0,23243,-2.8651,0.0042
0.0,23244,0.4565,0.648
0.0,23245,0.9926,0.321
0.0,23246,0.6516,0.515
0.0,23247,2.0792,0.0376
0.0,23248,-0.2707,0.787
0.0,23249,0.0,1.0
0.0,23250,2.0221,0.0432
0.0,23251,-2.2495,0.0245
0.0,23252,-0.0855,0.932
0.0,23253,0.0,1.0
0.0,23254,0.5312,0.595
0.0,23255,0.0764,0.939
0.0,23256,0.6982,0.485
0.0,23257,0.0,1.0
0.0,23258,1.4088,0.159
0.0,23259,0.0973,0.922
0.0,23260,3.5899,0.0003
0.0,23261,0.5312,0.595
0.0,23262,1.2651,0.206
0.0,23263,-0.1722,0.863
0.0,23264,1.1478,0.251
0.0,23265,-0.0528,0.958
0.0,23266,-0.2117,0.832
0.0,23267,0.4771,0.633
0.0,23268,1.2298,0.219
0.0,23269,-1.3711,0.17
0.0,23270,0.1876,0.851
0.0,23271,1.5371,0.124
0.0,23272,0.1722,0.863
0.0,23273,1.5371,0.124
0.0,23274,1.0919,0.275
0.0,23275,0.1126,0.91
0.0,23276,-0.1088,0.913
0.0,23277,1.5371,0.124
0.0,23278,0.0,1.0
0.0,23279,0.3764,0.707
0.0,23280,0.0,1.0
0.0,23281,0.0,1.0
0.0,23282,0.4168,0.677
0.0,23283,-0.0685,0.945
0.0,23284,1.5371,0.124
0.0,23285,0.1722,0.863
0.0,23286,1.3405,0.18
0.0,23287,0.8454,0.398
0.0,23288,-3.21,0.0013
0.0,23289,2.0583,0.0396
0.0,23290,0.3335,0.739
0.0,23291,0.1652,0.869
0.0,23292,-0.9375,0.349
0.0,23293,0.0,1.0
0.0,23294,2.4666,0.0137
0.0,23295,-0.1196,0.905
0.0,23296,-0.41,0.682
0.0,23297,1.4534,0.146
0.0,23298,-0.9671,0.334
0.0,23299,-0.0717,0.943
0.0,23300,0.8636,0.388
0.0,23301,0.0,1.0
0.0,23302,0.0487,0.961
0.0,23303,-1.0611,0.289
0.0,23304,0.8196,0.412
0.0,23305,0.4771,0.633
0.0,23306,1.6228,0.105
0.0,23307,-0.1845,0.854
0.0,23308,1.0035,0.316
0.0,23309,-1.8829,0.0598
0.0,23310,0.3549,0.723
0.0,23311,0.923,0.356
0.0,23312,-0.7633,0.445
0.0,23313,0.0833,0.934
0.0,23314,0.0733,0.942
0.0,23315,0.4089,0.683
0.0,23316,-0.1645,0.869
0.0,23317,2.9187,0.0035
0.0,23318,-1.4692,0.142
0.0,23319,0.3976,0.691
0.0,23320,-0.2705,0.787
0.0,23321,-0.7465,0.455
0.0,23322,0.5698,0.569
0.0,23323,1.6895,0.0912
0.0,23324,1.8064,0.0709
0.0,23325,0.0,1.0
0.0,23326,0.0,1.0
0.0,23327,-0.1604,0.873
0.0,23328,0.99,0.322
0.0,23329,2.8071,0.005
0.0,23330,1.5442,0.123
0.0,23331,1.0008,0.317
0.0,23332,0.0394,0.969
0.0,23333,-0.765,0.444
0.0,23334,-2.3492,0.0188
0.0,23335,-0.2254,0.822
0.0,23336,0.9617,0.336
0.0,23337,0.5869,0.557
0.0,23338,0.1934,0.847
0.0,23339,0.1652,0.869
0.0,23340,1.2506,0.211
0.0,23341,-0.188,0.851
0.0,23342,-0.8642,0.388
0.0,23343,0.7928,0.428
0.0,23344,0.227,0.82
0.0,23345,1.501,0.133
0.0,23346,0.1601,0.873
0.0,23347,2.6905,0.0072
0.0,23348,-0.2508,0.802
