alpha,topic,trisk,pvalue
0.0,23209,1.6181,0.106
0.0,23210,1.1863,0.236
0.0,23211,0.4867,0.626
0.0,23212,0.0,1.0
0.0,23213,0.3792,0.705
0.0,23214,-1.0136,0.311
0.0,23215,0.3618,0.718
0.0,23216,0.2992,0.765
0.0,23217,0.5096,0.61
0.0,23218,0.9094,0.363
0.0,23219,1.9701,0.0489
0.0,23220,0.0,1.0
0.0,23221,-0.9124,0.362
0.0,23222,-0.4756,0.634
0.0,23223,0.0,1.0
0.0,23224,0.0,1.0
0.0,23225,0.8153,0.415
0.0,23226,0.5975,0.55
0.0,23227,-0.2057,0.837
0.0,23228,1.8956,0.0581
0.0,23229,1.1674,0.243
0.0,23230,0.7134,0.476
0.0,23231,1.5936,0.111
0.0,23232,0.4669,0.641
0.0,23234,1.8727,0.0612
0.0,23235,-1.1743,0.24
0.0,23236,1.2108,0.226
0.0,23237,-0.5926,0.553
0.0,23238,1.3703,0.171
0.0,23239,1.6297,0.103
0.0,23240,-0.5198,0.603
0.0,23241,0.7315,0.464
0.0,23242,1.5465,0.122
0.0,23243,-2.9395,0.0033
0.0,23244,0.4467,0.655
0.0,23245,0.9714,0.331
0.0,23246,1.5601,0.119
0.0,23247,2.0348,0.0419
0.0,23248,0.0,1.0
0.0,23249,0.0,1.0
0.0,23250,1.3227,0.186
0.0,23251,-2.4619,0.0138
0.0,23252,0.0529,0.958
0.0,23253,-0.0456,0.964
0.0,23254,0.5198,0.603
0.0,23255,-0.7215,0.471
0.0,23256,0.3969,0.691
0.0,23257,0.0,1.0
0.0,23258,2.4746,0.0134
0.0,23259,0.531,0.595
0.0,23260,3.5132,0.0004
0.0,23261,0.5198,0.603
0.0,23262,1.2381,0.216
0.0,23263,0.0369,0.971
0.0,23264,1.1233,0.261
0.0,23265,-0.0517,0.959
0.0,23266,-0.2072,0.836
0.0,23267,0.4669,0.641
0.0,23268,1.2475,0.212
0.0,23269,-1.3418,0.18
0.0,23270,0.2434,0.808
0.0,23271,1.5043,0.133
0.0,23272,0.0057,0.995
0.0,23273,1.5043,0.133
0.0,23274,1.0686,0.285
0.0,23275,0.0,1.0
0.0,23276,-0.0053,0.996
0.0,23277,1.5043,0.133
0.0,23278,0.0,1.0
0.0,23279,0.0,1.0
0.0,23280,0.0,1.0
0.0,23281,0.0,1.0
0.0,23282,0.2883,0.773
0.0,23283,-0.067,0.947
0.0,23284,1.5043,0.133
0.0,23285,0.0057,0.995
0.0,23286,1.512,0.131
0.0,23287,0.5063,0.613
0.0,23288,-3.1414,0.0017
0.0,23289,3.4681,0.0005
0.0,23290,0.4906,0.624
0.0,23291,0.1278,0.898
0.0,23292,-0.3818,0.703
0.0,23293,0.0,1.0
0.0,23294,2.4139,0.0158
0.0,23295,0.9628,0.336
0.0,23296,-0.5014,0.616
0.0,23297,1.5977,0.11
0.0,23298,-0.6647,0.506
0.0,23299,0.7883,0.431
0.0,23300,0.7615,0.446
0.0,23301,0.0,1.0
0.0,23302,0.0291,0.977
0.0,23303,-1.0711,0.284
0.0,23304,2.5128,0.012
0.0,23305,0.2417,0.809
0.0,23306,1.5881,0.112
0.0,23307,-0.3568,0.721
0.0,23308,1.1629,0.245
0.0,23309,-2.0475,0.0406
0.0,23310,0.3474,0.728
0.0,23311,0.8288,0.407
0.0,23312,-0.7942,0.427
0.0,23313,0.0329,0.974
0.0,23314,-0.1284,0.898
0.0,23315,0.4002,0.689
0.0,23316,0.794,0.427
0.0,23317,2.4108,0.0159
0.0,23318,-1.2918,0.196
0.0,23319,0.8218,0.411
0.0,23320,-0.3421,0.732
0.0,23321,-0.7306,0.465
0.0,23322,0.4384,0.661
0.0,23323,1.8031,0.0714
0.0,23324,1.8485,0.0646
0.0,23325,1.0789,0.281
0.0,23326,1.6181,0.106
0.0,23327,-0.0682,0.946
0.0,23328,1.505,0.132
0.0,23329,2.8188,0.0048
0.0,23330,1.5112,0.131
0.0,23331,0.9794,0.327
0.0,23332,0.0385,0.969
0.0,23333,-0.7887,0.43
0.0,23334,-2.299,0.0215
0.0,23335,-0.0225,0.982
0.0,23336,1.2815,0.2
0.0,23337,0.6788,0.497
0.0,23338,0.222,0.824
0.0,23339,0.1278,0.898
0.0,23340,1.2239,0.221
0.0,23341,0.0696,0.945
0.0,23342,-0.8458,0.398
0.0,23343,0.5112,0.609
0.0,23344,1.2961,0.195
0.0,23345,2.0693,0.0386
0.0,23346,0.2507,0.802
0.0,23347,3.9422,0.0001
0.0,23348,-0.2454,0.806
0.0,23349,0.3626,0.717
0.0,23350,2.1303,0.0332
0.0,23351,0.5173,0.605
0.0,23352,-0.0454,0.964
0.0,23353,-0.8794,0.379
0.0,23354,0.0646,0.948
0.0,23355,0.4669,0.641
0.0,23356,0.0,1.0
0.0,23357,2.019,0.0435
0.0,23358,1.7988,0.0721
0.0,23359,2.7744,0.0056
0.0,23360,2.5705,0.0102
0.0,23361,1.0018,0.316
0.0,23362,1.7612,0.0782
0.0,23363,2.6143,0.009
0.0,23364,1.1124,0.266
0.0,23365,0.4455,0.656
0.0,23366,0.0,1.0
0.0,23367,2.5651,0.0103
0.0,23368,0.9771,0.329
0.0,23369,-0.8737,0.382
0.0,23370,0.5424,0.588
0.0,23371,0.7611,0.447
0.0,23372,-0.4342,0.664
0.0,23373,0.6584,0.51
0.0,23374,1.1208,0.262
0.0,23375,0.0,1.0
0.0,23376,1.6831,0.0924
0.0,23377,0.3307,0.741
0.0,23378,0.4967,0.619
0.0,23379,-0.3977,0.691
0.0,23380,-0.3699,0.711
0.0,23381,0.5475,0.584
0.0,23382,-1.1287,0.259
0.0,23383,-0.0399,0.968
0.0,23384,-0.9886,0.323
0.0,23385,0.0,1.0
0.0,23386,0.7242,0.469
0.0,23387,1.1701,0.242
0.0,23388,1.1105,0.267
0.0,23389,0.527,0.598
0.0,23390,-0.0941,0.925
0.0,23391,-1.1341,0.257
0.0,23392,0.3728,0.709
0.0,23393,0.0,1.0
0.0,23394,0.9242,0.355
0.0,23395,0.1512,0.88
0.0,23396,0.2681,0.789
0.0,23397,1.3744,0.169
0.0,23398,1.3424,0.18
0.0,23399,0.6981,0.485
0.0,23400,-0.8776,0.38
0.0,23401,-1.3722,0.17
0.0,23402,0.1417,0.887
0.0,23403,-1.6349,0.102
0.0,23404,-0.1313,0.896
0.0,23405,0.8231,0.41
0.0,23406,1.4671,0.142
0.0,23407,0.7174,0.473
0.0,23408,0.0278,0.978
0.0,23409,0.0,1.0
0.0,23410,-0.5678,0.57
0.0,23411,-1.3779,0.168
0.0,23412,0.1543,0.877
0.0,23413,0.3002,0.764
0.0,23414,2.3173,0.0205
0.0,23415,0.7401,0.459
0.0,23416,-1.0126,0.311
0.0,23417,-1.1761,0.24
0.0,23418,-0.4781,0.633
0.0,23419,-0.5595,0.576
0.0,23420,0.0,1.0
0.0,23421,-1.2106,0.226
0.0,23422,-0.971,0.332
0.0,23423,0.9136,0.361
0.0,23424,0.1606,0.872
0.0,23425,-0.2719,0.786
0.0,23426,0.7667,0.443
0.0,23427,0.9628,0.336
0.0,23428,-0.8459,0.398
0.0,23429,0.0418,0.967
0.0,23430,-0.4588,0.646
0.0,23431,2.0354,0.0418
0.0,23432,-0.1809,0.856
0.0,23433,2.4466,0.0144
0.0,23434,-0.6091,0.542
0.0,23435,0.4814,0.63
0.0,23436,0.1548,0.877
0.0,23437,-0.9006,0.368
0.0,23438,0.2001,0.841
0.0,23439,0.0,1.0
0.0,23440,0.0,1.0
0.0,23441,0.7647,0.444
0.0,23442,0.6575,0.511
0.0,23443,0.2735,0.784
0.0,23444,0.4327,0.665
0.0,23445,-0.7656,0.444
0.0,23446,1.1856,0.236
0.0,23447,2.6388,0.0083
0.0,23448,0.7489,0.454
0.0,23449,1.6499,0.099
0.0,23450,-1.3924,0.164
0.0,23451,0.0659,0.947
0.0,23452,0.0,1.0
0.0,23453,-0.1111,0.912
0.0,23454,1.4641,0.143
0.0,23455,-0.8754,0.381
0.0,23456,1.4346,0.151
0.0,23457,0.2586,0.796
0.0,23458,-0.0948,0.924
0.0,23459,2.3232,0.0202
0.0,23460,1.3136,0.189
0.0,23461,-0.0227,0.982
0.0,23462,-1.6847,0.0921
0.0,23463,0.4173,0.676
0.0,23464,-0.6613,0.508
0.0,23465,-0.2041,0.838
0.0,23466,0.273,0.785
0.0,23467,0.404,0.686
0.0,23468,0.3014,0.763
0.0,23469,1.7137,0.0866
0.0,23470,0.4047,0.686
0.0,23471,0.8591,0.39
0.0,23472,0.2358,0.814
0.0,23473,1.191,0.234
0.0,23474,-0.0838,0.933
0.0,23475,0.9265,0.354
0.0,23476,0.3867,0.699
0.0,23477,-0.5811,0.561
0.0,23478,0.9427,0.346
0.0,23479,-0.1126,0.91
0.0,23480,-0.8299,0.407
0.0,23481,0.2249,0.822
0.0,23482,1.1142,0.265
0.0,23483,0.1702,0.865
0.0,23484,0.7759,0.438
0.0,23485,1.2224,0.222
0.0,23486,0.0517,0.959
0.0,23487,0.9406,0.347
0.0,23488,1.3918,0.164
0.0,23489,1.1588,0.247
0.0,23490,-1.0664,0.286
0.0,23491,0.0717,0.943
0.0,23492,0.4097,0.682
0.0,23493,0.0,1.0
0.0,23494,2.0439,0.041
0.0,23495,-2.2048,0.0275
0.0,23496,0.3342,0.738
0.0,23497,0.6338,0.526
0.0,23498,0.6103,0.542
0.0,23499,-0.5388,0.59
0.0,23500,1.8605,0.0629
0.0,23501,0.9603,0.337
0.0,23502,1.656,0.0978
0.0,23503,0.2875,0.774
0.0,23504,1.5025,0.133
0.0,23505,0.8038,0.422
0.0,23506,0.8258,0.409
0.0,23507,0.3543,0.723
0.0,23508,0.3657,0.715
0.0,23509,2.1328,0.033
0.0,23510,-1.4482,0.148
0.0,23511,0.2002,0.841
0.0,23512,0.4971,0.619
0.0,23513,-2.2369,0.0253
0.0,23514,1.2479,0.212
0.0,23515,-0.5265,0.599
0.0,23516,1.9511,0.0511
0.0,23517,0.5428,0.587
0.0,23518,1.9728,0.0486
0.0,23519,-0.3169,0.751
0.0,23520,1.4287,0.153
0.0,23521,0.2034,0.839
0.0,23522,0.8877,0.375
0.0,23523,0.2991,0.765
0.0,23524,-1.1694,0.242
0.0,23525,-0.2912,0.771
0.0,23526,-0.7218,0.47
0.0,23527,1.7924,0.0731
0.0,23528,-0.6241,0.533
0.0,23529,0.7097,0.478
0.0,23530,0.0555,0.956
0.0,23531,0.2833,0.777
0.0,23532,-1.1621,0.245
0.0,23533,-0.9374,0.349
0.0,23534,-0.4704,0.638
0.0,23535,0.0,1.0
0.0,23536,2.3312,0.0198
0.0,23537,0.2892,0.772
0.0,23538,0.8482,0.396
0.0,23539,0.0512,0.959
0.0,23540,-2.716,0.0066
0.0,23541,0.585,0.559
0.0,23542,0.7042,0.481
0.0,23543,0.4183,0.676
0.0,23544,0.8231,0.41
0.0,23545,0.3436,0.731
0.0,23546,1.7016,0.0889
0.0,23547,1.7751,0.0759
0.0,23548,0.623,0.533
0.0,23549,3.0277,0.0025
0.0,23550,-0.1692,0.866
0.0,23551,-0.2228,0.824
0.0,23552,0.7056,0.48
0.0,23553,0.366,0.714
0.0,23554,0.4729,0.636
0.0,23555,0.7967,0.426
0.0,23556,0.8413,0.4
0.0,23557,2.0869,0.0369
0.0,23558,0.2421,0.809
0.0,23559,-0.8231,0.41
0.0,23560,0.3537,0.724
0.0,23561,1.8065,0.0709
0.0,23562,2.372,0.0177
0.0,23563,1.6708,0.0948
0.0,23564,-0.0546,0.956
0.0,23565,-0.2525,0.801
0.0,23566,0.7947,0.427
0.0,23567,0.4002,0.689
0.0,23568,-1.685,0.092
0.0,23569,1.2191,0.223
0.0,23570,0.6806,0.496
0.0,23571,0.3728,0.709
0.0,23572,1.7737,0.0762
0.0,23573,2.9335,0.0034
0.0,23574,-0.484,0.628
0.0,23575,-0.9398,0.347
0.0,23576,0.0,1.0
0.0,23577,-0.1448,0.885
0.0,23578,-1.7034,0.0885
0.0,23579,-0.1119,0.911
0.0,23580,-0.4456,0.656
0.0,23581,0.6612,0.509
0.0,23582,0.1781,0.859
0.0,23583,1.8916,0.0586
0.0,23584,0.1718,0.864
0.0,23585,0.3551,0.723
0.0,23586,0.0,1.0
0.0,23587,1.7375,0.0823
0.0,23588,0.0,1.0
0.0,23589,0.3965,0.692
0.0,23590,1.4056,0.16
0.0,23591,-0.1839,0.854
0.0,23592,1.3291,0.184
0.0,23593,1.5874,0.112
0.0,23594,0.3941,0.694
0.0,23595,0.0,1.0
0.0,23596,1.0021,0.316
0.0,23597,-0.3198,0.749
0.0,23598,1.4801,0.139
0.0,23599,3.374,0.0007
0.0,23600,-0.2412,0.809
0.0,23601,0.4139,0.679
0.0,23602,-0.4455,0.656
0.0,23603,-0.7297,0.466
0.0,23605,1.4774,0.14
0.0,23606,0.5571,0.577
0.0,23607,-0.1794,0.858
0.0,23608,0.0,1.0
0.0,23609,0.1974,0.844
0.0,23610,-0.2241,0.823
0.0,23611,2.0927,0.0364
0.0,23612,0.091,0.927
0.0,23613,0.5567,0.578
0.0,23614,-0.1349,0.893
0.0,23615,0.8877,0.375
0.0,23616,1.824,0.0682
0.0,23617,-0.2324,0.816
0.0,23618,0.0556,0.956
0.0,23619,-0.4182,0.676
0.0,23620,0.1817,0.856
0.0,23621,0.0,1.0
0.0,23622,0.0,1.0
0.0,23623,0.0335,0.973
0.0,23624,2.1805,0.0293
0.0,23625,1.7171,0.086
0.0,23627,2.1088,0.035
0.0,23628,0.0879,0.93
0.0,23629,-0.095,0.924
0.0,23630,0.6035,0.546
0.0,23631,-0.8656,0.387
0.0,23632,-0.6492,0.516
0.0,23633,1.633,0.103
0.0,23634,-0.8514,0.395
0.0,23635,2.791,0.0053
0.0,23636,1.245,0.213
0.0,23637,1.3745,0.169
0.0,23638,0.0,1.0
0.0,23639,0.2751,0.783
0.0,23640,0.7798,0.436
0.0,23641,1.8792,0.0603
0.0,23642,-0.3227,0.747
0.0,23643,0.7004,0.484
0.0,23644,0.5603,0.575
0.0,23645,0.1812,0.856
0.0,23646,0.7928,0.428
0.0,23647,0.4901,0.624
0.0,23648,0.0952,0.924
0.0,23649,2.6041,0.0092
0.0,23650,-0.6003,0.548
0.0,23651,3.3162,0.0009
0.0,23652,-0.0243,0.981
0.0,23653,0.949,0.343
0.0,23654,0.5198,0.603
0.0,23655,0.6023,0.547
0.0,23656,0.0,1.0
0.0,23657,-0.8206,0.412
0.0,23658,4.7875,0.0
0.0,23659,-0.0926,0.926
0.0,23660,0.2798,0.78
0.0,23661,0.9156,0.36
0.0,23662,-1.4995,0.134
0.0,23663,1.0811,0.28
0.0,23664,0.8314,0.406
0.0,23665,0.0701,0.944
0.0,23666,-0.659,0.51
0.0,23667,-0.9006,0.368
0.0,23668,-0.3133,0.754
0.0,23669,1.0544,0.292
0.0,23670,-1.8209,0.0687
0.0,23671,0.5305,0.596
0.0,23672,0.2681,0.789
0.0,23673,0.1685,0.866
0.0,23674,1.1891,0.234
0.0,23675,0.3664,0.714
0.0,23676,1.1358,0.256
0.0,23677,-0.2233,0.823
0.0,23679,0.0798,0.936
0.0,23680,-0.1767,0.86
0.0,23681,0.4395,0.66
0.0,23682,2.2856,0.0223
0.0,23683,-0.5583,0.577
0.0,23684,0.5357,0.592
0.0,23685,0.0996,0.921
0.0,23686,0.0194,0.985
0.0,23687,0.0,1.0
0.0,23688,1.9647,0.0495
0.0,23689,-0.1354,0.892
0.0,23690,0.7044,0.481
0.0,23691,0.4704,0.638
0.0,23692,0.5415,0.588
0.0,23693,0.9191,0.358
0.0,23694,0.7989,0.424
0.0,23695,0.5626,0.574
0.0,23696,-0.2323,0.816
0.0,23697,1.9084,0.0564
0.0,23698,0.4002,0.689
0.0,23699,0.3064,0.759
0.0,23700,0.4668,0.641
0.0,23701,0.8459,0.398
0.0,23702,1.3857,0.166
0.0,23703,0.5807,0.561
0.0,23704,-0.6527,0.514
0.0,23705,0.669,0.504
0.0,23706,0.2032,0.839
0.0,23707,1.5612,0.119
0.0,23708,0.8238,0.41
0.0,23710,-0.4456,0.656
0.0,23711,0.2729,0.785
0.0,23712,1.9244,0.0543
0.0,23714,-1.341,0.18
0.0,23715,0.829,0.407
0.0,23716,1.5403,0.124
0.0,23717,0.3018,0.763
0.0,23718,0.163,0.871
0.0,23719,0.5666,0.571
0.0,23720,0.3568,0.721
0.0,23721,-1.4803,0.139
0.0,23722,1.0565,0.291
0.0,23723,-1.0629,0.288
0.0,23724,-0.3878,0.698
0.0,23725,-0.5346,0.593
0.0,23726,0.7064,0.48
0.0,23727,-0.2268,0.821
0.0,23728,2.2557,0.0241
0.0,23729,0.5706,0.568
0.0,23730,-0.9206,0.357
0.0,23731,0.0,1.0
0.0,23732,2.909,0.0036
0.0,23733,2.293,0.0219
0.0,23734,0.6886,0.491
0.0,23735,0.1296,0.897
0.0,23736,1.0345,0.301
0.0,23737,0.397,0.691
0.0,23738,0.3198,0.749
0.0,23739,2.6691,0.0076
0.0,23740,0.4723,0.637
0.0,23741,2.4722,0.0135
0.0,23742,0.5268,0.598
0.0,23743,3.0966,0.002
0.0,23744,-1.1541,0.249
0.0,23745,-1.0338,0.301
0.0,23746,-0.7307,0.465
0.0,23747,-2.281,0.0226
0.0,23748,-0.5603,0.575
0.0,23749,1.1848,0.236
0.0,23750,1.3668,0.172
0.0,23751,1.0572,0.29
0.0,23752,0.9415,0.346
0.0,23753,0.4456,0.656
0.0,23754,1.08,0.28
0.0,23755,-0.3264,0.744
0.0,23756,0.1221,0.903
0.0,23757,0.0934,0.926
0.0,23758,-0.8127,0.416
0.0,23759,-0.8215,0.411
0.0,23760,-0.2862,0.775
0.0,23761,0.1196,0.905
0.0,23762,-0.6146,0.539
0.0,23763,0.7635,0.445
0.0,23764,-2.2807,0.0226
0.0,23765,0.0,1.0
0.0,23766,0.538,0.591
0.0,23767,0.9791,0.328
0.0,23768,1.0408,0.298
0.0,23769,1.786,0.0741
0.0,23770,0.3328,0.739
0.0,23771,-0.7405,0.459
0.0,23772,1.5962,0.11
0.0,23773,1.2073,0.227
0.0,23774,0.4155,0.678
0.0,23775,0.7371,0.461
0.0,23776,0.8425,0.4
0.0,23777,-0.004,0.997
0.0,23778,-0.3436,0.731
0.0,23779,1.2115,0.226
0.0,23780,1.1135,0.266
0.0,23781,1.456,0.145
0.0,23782,1.0386,0.299
0.0,23783,3.1313,0.0018
0.0,23784,-0.0561,0.955
0.0,23785,-0.1445,0.885
0.0,23786,0.6736,0.501
0.0,23787,0.8498,0.395
0.0,23788,1.2923,0.196
0.0,23789,1.1547,0.248
0.0,23790,0.0,1.0
0.0,23791,0.8794,0.379
0.0,23792,0.4696,0.639
0.0,23793,-0.0669,0.947
0.0,23794,1.5734,0.116
0.0,23795,0.3966,0.692
0.0,23796,0.2654,0.791
0.0,23797,0.2265,0.821
0.0,23798,0.8813,0.378
0.0,23799,2.2217,0.0263
0.0,23800,3.0623,0.0022
0.0,23801,-0.8972,0.37
0.0,23802,0.0963,0.923
0.0,23803,1.3768,0.169
0.0,23804,0.0539,0.957
0.0,23805,1.5134,0.13
0.0,23806,0.0589,0.953
0.0,23807,1.2963,0.195
0.0,23808,0.0,1.0
